Discharge_ID,Formula_dcg,Gravimetric_Capacity_(mAh/g),Average_Voltage_(V),Number_of_Elements_dcg,a_dcg,alpha_dcg,Spacegroup_cg,sum_NpUnfilled_dcg,sum_GSbandgap_dcg,sum_SpaceGroupNumber_dcg,avg_MeltingT_dcg,avg_Row_dcg,avg_NsUnfilled_dcg,avg_GSvolume_pa_dcg,dev_Column_dcg,dev_Row_dcg,dev_CovalentRadius_dcg,dev_Electronegativity_dcg,dev_NpValence_dcg,dev_NsUnfilled_dcg,dev_NpUnfilled_dcg,dev_GSbandgap_dcg,max_MeltingT_dcg,max_NdValence_dcg,max_NpUnfilled_dcg,max_NUnfilled_dcg,Predicted_Fermi_Energy_dcg,Predicted_Band_Gap_dcg,Predicted_Formation_Energy_Per_Atom_dcg,Predicted_Final_Energy_Per_Atom_dcg
17142,Na6CuO4,107.667087143199,4.62277131155171,3,7.532255,90,14,8,0,1647,345.653636363636,2.72727272727273,0.636363636363636,20.2681818181636,6.94214876033058,0.528925619834711,44.0330578512397,1.09752066115703,1.85123966942149,0.462809917355372,0.925619834710744,0,1357.77,10,2,2,1.84820008277893,2.74274706840515,-2.66739511489868,-5.28448915481567
17461,NaCoPO4,109.483132895332,1.77314227155172,4,5.298791,90.000032,14,11,1.625,473,382.195714285714,2.57142857142857,0.142857142857143,14.0683673469286,4.40816326530612,0.653061224489796,32.8163265306122,0.868571428571429,1.55102040816327,0.244897959183673,0.897959183673469,0.397959183673469,1768,7,3,3,4.79676628112793,0.377944469451904,-2.86777186393738,-7.38584709167481
17479,NaV(SiO3)2,108.125164385399,3.60739742405173,4,5.382204,89.317904,14,20,1.546,984,625.667,2.5,0.1,13.77633333333,4,0.6,33.24,0.888,1.44,0.18,0.8,0.24736,2183,3,4,7,2.33796787261963,2.0143256187439,-2.71881437301636,-4.79208087921143
17876,NaMnAsO4,123.59626547939,3.41223907905172,4,5.245128,90,62,11,0,660,457.01,2.71428571428571,0.142857142857143,14.0465599343143,4.81632653061225,0.816326530612245,36.8979591836735,0.924081632653061,1.55102040816327,0.244897959183673,0.897959183673469,0,1519,10,3,5,2.27029538154602,1.9883828163147,-2.0356137752533,-6.70939493179321
17967,NaMnPO4,155.0121968306,3.29734369905173,4,5.172401,90,62,11,1.625,496,346.624285714286,2.57142857142857,0.142857142857143,14.1030225193429,4.81632653061225,0.653061224489796,34.9387755102041,0.922448979591837,1.55102040816327,0.244897959183673,0.897959183673469,0.397959183673469,1519,5,3,5,2.83236289024353,3.23278975486755,-2.57831883430481,-6.3452582359314
17999,NaReO3,178.766064535323,4.17915318905173,3,3.887614,90,14,6,0,459,798.854,3,0.2,14.24266666666,5.76,1.2,44.4,0.972,1.92,0.32,0.96,0,3459,5,2,5,0.936142086982727,2.06118988990784,-3.18438839912415,-7.86836624145508
18245,Na2CoP2O7,151.511253690188,4.45606178155172,4,6.546302,64.679258,62,20,3.25,740,293.995,2.5,0.166666666666667,14.8005952380833,4.54166666666667,0.583333333333333,33.25,0.882777777777778,1.41666666666667,0.277777777777778,0.833333333333333,0.451388888888889,1768,7,3,3,2.75127363204956,2.93244361877441,-2.32212281227112,-6.10742664337158
18435,NaCr3O8,91.5122684887288,3.18521620655172,3,5.164939,90.083233,14,16,0,1012,612.439166666667,2.58333333333333,0.333333333333333,11.3044444444417,5,0.777777777777778,35.4444444444444,0.872222222222222,1.77777777777778,0.444444444444444,0.888888888888889,0,2180,5,2,6,2.36629962921143,4.12059450149536,-2.56296300888062,-6.60783815383911
18493,Na4Fe2(PO4)3,219.431043259239,3.95655176530172,4,8.857287,61.528627,167,33,4.875,1524,319.760952380952,2.52380952380952,0.19047619047619,15.0192403628,5.08843537414966,0.598639455782313,35.6462585034014,0.925714285714286,1.55102040816327,0.308390022675737,0.89795918367347,0.397959183673469,1811,6,3,4,3.12467098236084,0.506392478942871,-2.53733110427856,-5.74914026260376
18774,NaNi3O4,106.027705160653,4.95762696655172,3,5.217476,97.646353,14,8,0,952,721.75875,2.875,0.125,12.0779166666625,4.125,0.875,34.25,0.8875,2,0.21875,1,0,1728,8,2,2,1.51347076892853,2.51387572288513,-2.56051826477051,-6.65666675567627
18921,NaTiO2,235.26216710874,3.05620104655172,3,6.234801,60,166,4,0,447,605.3675,2.75,0.25,16.035833333325,6.75,0.75,48.5,1.1025,2,0.375,1,0,1941,2,2,8,3.22357511520386,0.999996185302734,-1.53939759731293,-7.06469488143921
18957,NaMn2O4,243.812486365644,2.74558946905172,3,5.178726,90,166,8,0,711,518.295714285714,2.71428571428571,0.142857142857143,12.3769293924429,5.38775510204082,0.816326530612245,40.1632653061225,1.0269387755102,1.95918367346939,0.244897959183673,0.979591836734694,0,1519,5,2,5,3.11359214782715,1.71034109592438,-1.96664571762085,-4.54327917098999
18999,NaMn6P7O24,44.7027454275891,3.5084293665517,4,5.440008,90,204,69,11.375,1833,342.662368421053,2.52631578947368,0.0263157894736842,12.3336978221342,2.89473684210526,0.664819944598338,27.4238227146814,0.751246537396122,1.16343490304709,0.0512465373961218,0.668975069252078,0.48840027700831,1519,5,3,5,3.68518972396851,0.426438212394714,-1.91507720947266,-7.06398248672485
19149,NaNiO2,235.758417232829,3.29890985905172,3,2.825461,76.266288,166,4,0,478,552.1175,2.75,0.25,14.443333333325,5.25,0.75,39.5,1.01,2,0.375,1,0,1728,8,2,2,3.25210237503052,1.04063415527344,-1.18291676044464,-6.63870620727539
19226,Na4Ni3P4O15,154.203312322665,3.07242319155172,4,6.56617,90,62,42,6.5,1779,336.872307692308,2.53846153846154,0.153846153846154,14.4149725274615,4.30177514792899,0.621301775147929,32.7514792899408,0.871153846153846,1.49112426035503,0.260355029585799,0.869822485207101,0.423076923076923,1728,8,3,3,2.95498919487,3.34244251251221,-2.48979115486145,-5.67800760269165
