Discharge_ID,Formula_dcg,Number_of_Elements_dcg,a_dcg,alpha_dcg,Spacegroup_dcg,sum_NpUnfilled_dcg,sum_GSbandgap_dcg,sum_SpaceGroupNumber_dcg,avg_MeltingT_dcg,avg_Row_dcg,avg_NsUnfilled_dcg,avg_GSvolume_pa_dcg,dev_Column_dcg,dev_Row_dcg,dev_CovalentRadius_dcg,dev_Electronegativity_dcg,dev_NpValence_dcg,dev_NsUnfilled_dcg,dev_NpUnfilled_dcg,dev_GSbandgap_dcg,max_MeltingT_dcg,max_NdValence_dcg,max_NpUnfilled_dcg,max_NUnfilled_dcg,Predicted_Fermi_Energy_dcg,Predicted_Band_Gap_dcg,Predicted_Formation_Energy_Per_Atom_dcg,Predicted_Final_Energy_Per_Atom_dcg
26741,Li2Mn2FeO6,4,5.12689,89.997698,41,12,0,1193,553.198181818182,2.54545454545455,0.181818181818182,10.8656217345818,5.55371900826446,0.793388429752066,33.3223140495868,1.02247933884298,1.98347107438017,0.297520661157025,0.991735537190083,0,1811,6,2,0,2.53926110267639,0.372092008590698,0.372092008590698,-1.92703819274902
774778,Na3MnBSO7,4,5.363115,89.999927,1,20,1.546,984,588.467,2.5,0.1,13.54833333333,3.52,0.6,30.72,0.864,1.44,0.18,0.8,0.24736,1811,6,4,4,1.14468908309937,3.50788021087647,-2.1396849155426,-7.30366325378418
770968,Na6Fe2P(CO4)4,5,5.210094,90.001481,7,21,6.121,1192,566.500769230769,2.46153846153846,0.230769230769231,14.6150183150077,5.28994082840237,0.568047337278107,37.1834319526627,0.927810650887574,1.64497041420118,0.355029585798817,0.994082840236686,0.796816568047337,3823,8,4,4,1.41828167438507,3.62006020545959,-2.17683815956116,-6.37391948699951
1173562,NaMnF3,4,5.988171,59.999992,2,12,24.694,936,300.097,2.3,0.1,13.00358333333,4.32,0.48,31.68,0.8736,1.68,0.18,0.72,1.58704,2183,3,3,7,1.42962729930878,0.654509902000427,-2.08899855613709,-6.24779748916626
26607,Li4Fe3(OF3)2,4,5.271257,98.674457,2,10,11.82,1717,511.890666666667,2.4,0.266666666666667,11.66788888888,6.34666666666667,0.64,35.0755555555556,1.2448,2.36444444444444,0.391111111111111,0.622222222222222,0.9456,1811,6,2,0,2.56440043449402,3.42463612556458,3.42463612556458,-2.60716819763184
26489,LiCr2P3O10,4,8.657838,77.763693,11,29,4.875,813,394.599375,2.4375,0.1875,12.3583779761813,3.484375,0.6015625,25.859375,0.76328125,1.171875,0.3046875,0.6796875,0.4951171875,2180,5,3,0,2.46530389785767,2.59810519218445,2.59810519218445,-2.65073013305664
25845,LiFePO4,4,7.437212,90,159,11,1.625,508,400.17,2.42857142857143,0.142857142857143,12.3305102040714,4.61224489795918,0.612244897959184,27.5918367346939,0.868571428571429,1.55102040816327,0.244897959183673,0.897959183673469,0.397959183673469,1811,6,3,0,1.78249549865723,3.79909682273865,3.79909682273865,-2.60292410850525
26773,Li2CoP2O7,4,8.158877,89.998197,15,20,3.25,740,307.798333333333,2.33333333333333,0.166666666666667,12.69226190475,4.54166666666667,0.5,25.8611111111111,0.873055555555555,1.41666666666667,0.277777777777778,0.833333333333333,0.451388888888889,1768,7,3,0,2.48035597801208,1.68552255630493,1.68552255630493,-2.60614013671875
26805,LiCoPO4,4,7.962336,60.330291,14,11,1.625,473,394.027142857143,2.42857142857143,0.142857142857143,12.2612244897857,4.40816326530612,0.612244897959184,26.6122448979592,0.860408163265306,1.55102040816327,0.244897959183673,0.897959183673469,0.397959183673469,1768,7,3,0,2.35982966423035,1.99104046821594,1.99104046821594,-2.60280752182007
26307,LiFe(SiO3)2,4,8.801757,78.072472,14,20,1.546,984,596.749,2.4,0.1,12.28333333333,3.52,0.56,26.16,0.858,1.44,0.18,0.8,0.24736,1811,6,4,0,1.5543417930603,2.3889102935791,2.3889102935791,-2.50365972518921
772553,Na3CuAsCO7,5,8.91153,57.097963,146,66,9.75,1569,332.326111111111,2.44444444444444,0.0833333333333333,13.1580026454944,3.46296296296296,0.592592592592593,29.6666666666667,0.740740740740741,1.11111111111111,0.152777777777778,0.611111111111111,0.451388888888889,2180,5,3,8,1.08786273002625,2.49444699287415,-2.90584325790405,-5.05536317825317
26783,Li2Mn(PO3)4,4,5.000676,113.78512,2,36,6.5,827,229.114736842105,2.31578947368421,0.105263157894737,12.8008002765421,3.39058171745152,0.465373961218837,24,0.785152354570637,1.06371191135734,0.188365650969529,0.598337950138504,0.54016620498615,1519,5,3,0,0.0427927970886231,1.03425455093384,1.03425455093384,-2.52672052383423
26359,Li2Co3(P2O7)2,4,5.30304,81.162323,2,40,6.5,1216,358.599130434783,2.43478260869565,0.0869565217391304,12.2466356107565,3.39508506616257,0.604914933837429,24.7712665406427,0.772778827977316,1.28544423440454,0.158790170132325,0.756143667296786,0.466918714555766,1768,7,3,0,1.14297664165497,3.33009362220764,3.33009362220764,-2.56644368171692
25963,LiCoPO4,4,5.053912,89.999463,33,11,1.625,473,394.027142857143,2.42857142857143,0.142857142857143,12.2612244897857,4.40816326530612,0.612244897959184,26.6122448979592,0.860408163265306,1.55102040816327,0.244897959183673,0.897959183673469,0.397959183673469,1768,7,3,0,1.14967834949493,2.40085458755493,2.40085458755493,-2.55034470558166
