Discharge_ID,Formula_dcg,Average_Voltage_(V),Number_of_Elements_dcg,a_dcg,alpha_dcg,Spacegroup_dcg,sum_NpUnfilled_dcg,sum_GSbandgap_dcg,sum_SpaceGroupNumber_dcg,avg_MeltingT_dcg,avg_Row_dcg,avg_NsUnfilled_dcg,avg_GSvolume_pa_dcg,dev_Column_dcg,dev_Row_dcg,dev_CovalentRadius_dcg,dev_Electronegativity_dcg,dev_NpValence_dcg,dev_NsUnfilled_dcg,dev_NpUnfilled_dcg,dev_GSbandgap_dcg,max_MeltingT_dcg,max_NdValence_dcg,max_NpUnfilled_dcg,max_NUnfilled_dcg,Predicted_Fermi_Energy_dcg,Predicted_Band_Gap_dcg,Predicted_Formation_Energy_Per_Atom_dcg,Predicted_Final_Energy_Per_Atom_dcg
17461,NaCoPO4,1.77314227155172,4,5.298791,90.000032,14,11,1.625,473,382.195714285714,2.57142857142857,0.142857142857143,14.0683673469286,4.40816326530612,0.653061224489796,32.8163265306122,0.868571428571429,1.55102040816327,0.244897959183673,0.897959183673469,0.397959183673469,1768,7,3,3,4.79676628112793,0.377944469451904,-2.86777186393738,-7.38584709167481
17479,NaV(SiO3)2,3.60739742405173,4,5.382204,89.317904,14,20,1.546,984,625.667,2.5,0.1,13.77633333333,4,0.6,33.24,0.888,1.44,0.18,0.8,0.24736,2183,3,4,7,2.33796787261963,2.0143256187439,-2.71881437301636,-4.79208087921143
17876,NaMnAsO4,3.41223907905172,4,5.245128,90,62,11,0,660,457.01,2.71428571428571,0.142857142857143,14.0465599343143,4.81632653061225,0.816326530612245,36.8979591836735,0.924081632653061,1.55102040816327,0.244897959183673,0.897959183673469,0,1519,10,3,5,2.27029538154602,1.9883828163147,-2.0356137752533,-6.70939493179321
17967,NaMnPO4,3.29734369905173,4,5.172401,90,62,11,1.625,496,346.624285714286,2.57142857142857,0.142857142857143,14.1030225193429,4.81632653061225,0.653061224489796,34.9387755102041,0.922448979591837,1.55102040816327,0.244897959183673,0.897959183673469,0.397959183673469,1519,5,3,5,2.83236289024353,3.23278975486755,-2.57831883430481,-6.3452582359314
3731,Li5Fe2Ni3O10,4.8810732233333,4,5.083201,70.971364,2,20,0,2398,581.1225,2.5,0.25,11.321833333325,5.45,0.75,30.8,1.0055,2,0.375,1,0,1811,8,2,0,1.0149245262146,3.16527962684631,3.16527962684631,-2.90281820297241
3924,Li2Mn3CrO8,2.90275776333333,4,5.917373,60.184556,166,16,0,1434,577.341428571429,2.57142857142857,0.214285714285714,10.6199589490929,5.46938775510204,0.816326530612245,33.9591836734694,1.00979591836735,1.95918367346939,0.336734693877551,0.979591836734694,0,2180,5,2,0,5.27667999267578,1.23049354553223,1.23049354553223,-2.6434760093689
4226,LiCrS2,2.40310871333333,3,3.494304,90,164,4,4.404,598,852.6025,3,0.5,19.839270833325,6.25,0.5,14.25,0.63,2,0.5,1,1.101,2180,5,2,0,4.87721824645996,0.619315028190613,0.619315028190613,-1.21423828601837
4711,Li2CuO2,2.56927927833333,3,5.165474,147.879172,71,4,0,707,474.95,2.4,0.6,12.49333333332,6.4,0.64,30.4,1.0336,1.92,0.48,0.96,0,1357.77,10,2,0,2.31431126594543,0.422507762908936,0.422507762908936,-1.68216919898987
5127,LiCuO,3.59206619583333,3,3.813783,84.615757,139,2,0,466,622.086666666667,2.66666666666667,0.666666666666667,12.2561111111,5.55555555555556,0.888888888888889,28.4444444444444,0.888888888888889,1.77777777777778,0.444444444444444,0.888888888888889,0,1357.77,10,2,0,2.34518384933472,0.560651063919067,0.560651063919067,-1.44724726676941
6944,Li8VO5F,1.83646840583333,4,6.013942,101.712457,1,11,1.97,2136,409.334666666667,2.13333333333333,0.533333333333333,13.39927777776,7.06666666666667,0.248888888888889,31.8133333333333,1.18933333333333,2,0.497777777777778,0.88,0.245155555555556,2183,3,2,0,6.06563425064087,1.84311580657959,1.84311580657959,-2.95846843719482
7543,Li(TiS2)3,1.80189217333333,3,3.438849,89.999492,164,12,13.212,1231,860.685,3.2,0.1,22.13845833333,6.12,0.48,22.56,0.5664,1.92,0.18,0.96,1.05696,1941,2,2,0,4.97557163238525,0.592117667198181,0.592117667198181,-1.42779445648193
7936,LiNi(SO4)2,2.17216934333333,4,8.363287,90.315889,1,20,4.404,690,283.0675,2.33333333333333,0.0833333333333333,12.610590277775,2.91666666666667,0.5,22,0.634444444444444,1.11111111111111,0.152777777777778,0.555555555555556,0.611666666666667,1728,8,2,0,5.46610641479492,0.645690560340881,0.645690560340881,-1.57105851173401
